4096,2,0.000837,0.000587,0.000743
4096,4,0.000447,0.000298,0.000724
4096,8,0.000626,0.000404,0.000480
4096,16,0.000781,0.000490,0.000508
4096,32,0.000361,0.000211,0.000301
4096,64,0.000307,0.000218,0.000300
4096,128,0.000296,0.000207,0.000291
4096,256,0.000307,0.000216,0.000288
8192,2,0.000659,0.000449,0.000553
8192,4,0.000714,0.000480,0.000551
8192,8,0.000661,0.000459,0.000584
8192,16,0.000672,0.000477,0.000400
8192,32,0.000667,0.000470,0.000443
8192,64,0.000692,0.000485,0.000473
8192,128,0.000651,0.000445,0.000425
8192,256,0.000638,0.000476,0.000441
16384,2,0.001420,0.001053,0.000839
16384,4,0.001434,0.000976,0.000707
16384,8,0.001443,0.000963,0.000695
16384,16,0.001426,0.001027,0.000641
16384,32,0.001412,0.000951,0.000601
16384,64,0.001456,0.000966,0.000721
16384,128,0.001426,0.000973,0.000748
16384,256,0.001511,0.001024,0.000773
32768,2,0.003323,0.002256,0.001683
32768,4,0.003070,0.002135,0.001920
32768,8,0.003748,0.002578,0.002120
32768,16,0.003297,0.002184,0.001691
32768,32,0.003840,0.002396,0.001481
32768,64,0.003030,0.002094,0.001830
32768,128,0.003148,0.002150,0.002012
32768,256,0.003444,0.003924,0.001900
65536,2,0.007024,0.004851,0.005010
65536,4,0.007280,0.004731,0.004607
65536,8,0.006277,0.004313,0.002263
65536,16,0.006386,0.004498,0.002079
65536,32,0.006345,0.004284,0.002050
65536,64,0.006354,0.004224,0.002213
65536,128,0.006775,0.004621,0.002927
65536,256,0.006503,0.004455,0.003211
131072,2,0.015494,0.008964,0.009962
131072,4,0.016325,0.009227,0.007774
131072,8,0.013489,0.009198,0.004888
131072,16,0.014075,0.009409,0.004674
131072,32,0.013719,0.009421,0.004478
131072,64,0.015292,0.009587,0.006734
131072,128,0.015296,0.009354,0.003935
131072,256,0.013644,0.009428,0.003929
262144,2,0.031793,0.020543,0.020148
262144,4,0.029612,0.019837,0.011368
262144,8,0.031537,0.019703,0.012621
262144,16,0.029987,0.019638,0.009980
262144,32,0.028929,0.019646,0.006778
262144,64,0.029423,0.019782,0.009819
262144,128,0.028947,0.019033,0.009122
262144,256,0.029121,0.019278,0.007273
524288,2,0.061171,0.040749,0.028182
524288,4,0.059464,0.040752,0.027131
524288,8,0.059184,0.040390,0.021478
524288,16,0.059038,0.040406,0.017835
524288,32,0.059156,0.039973,0.015472
524288,64,0.060331,0.040803,0.016878
524288,128,0.059117,0.040877,0.017145
524288,256,0.059173,0.039947,0.018439
1048576,2,0.123127,0.084207,0.068442
1048576,4,0.124455,0.084090,0.050429
1048576,8,0.124653,0.087513,0.037574
1048576,16,0.127344,0.089178,0.029456
1048576,32,0.126037,0.084453,0.028940
1048576,64,0.124091,0.084534,0.029352
1048576,128,0.125416,0.087995,0.028983
1048576,256,0.123909,0.086432,0.030188
2097152,2,0.263616,0.180025,0.117536
2097152,4,0.261990,0.179692,0.102840
2097152,8,0.265476,0.182997,0.080016
2097152,16,0.269749,0.181254,0.064972
2097152,32,0.268791,0.178358,0.062736
2097152,64,0.264000,0.179812,0.059844
2097152,128,0.266243,0.178292,0.060148
2097152,256,0.265316,0.179634,0.066135
4194304,2,0.571769,0.388458,0.270442
4194304,4,0.569573,0.383464,0.198786
4194304,8,0.563930,0.377931,0.137500
4194304,16,0.557356,0.377958,0.121398
4194304,32,0.563464,0.382260,0.121913
4194304,64,0.546855,0.372979,0.126237
4194304,128,0.553631,0.380278,0.121762
4194304,256,0.561209,0.384919,0.127554
8388608,2,1.161933,0.783319,0.507645
8388608,4,1.152125,0.778899,0.467800
8388608,8,1.168766,0.792627,0.329606
8388608,16,1.176529,0.786607,0.259063
8388608,32,1.161787,0.775828,0.234326
8388608,64,1.141410,0.775856,0.243660
8388608,128,1.148884,0.783498,0.254065
8388608,256,1.160039,0.784845,0.262027
16777216,2,2.401539,1.635405,1.209307
16777216,4,2.409207,1.621242,0.835499
16777216,8,2.423207,1.638586,0.714860
16777216,16,2.423380,1.629362,0.548893
16777216,32,2.429093,1.639632,0.480607
16777216,64,2.424563,1.638430,0.476001
16777216,128,2.430123,1.641581,0.522738
16777216,256,2.413956,1.629656,0.543431
